playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeamOriginal,statusCode,quotationCurrent,fvm,fantasyRoster,fbrefId,fbrefName,fbrefUrl,fbrefSearchQuery,fbrefSearchUrl,reviewBatch,reviewPriority,reviewScore,matchStatus,confidence,sourceVerifiedAt,mappedInRelease,notes
fc-4486,4486,Strefezza,C,W/A,Parma,IN_LISTONE,13,50,Afc Severgas Baronissi,,,,Strefezza Parma fbref,https://fbref.com/en/search/search.fcgi?search=Strefezza%20Parma%20fbref,batch-04,170,36,needs-review,,,,
fc-5750,5750,Ostigard,D,Dc,Genoa,IN_LISTONE,15,50,Prestige Worldwide,b35a7399,Leo Skiri Østigård,https://fbref.com/en/players/b35a7399/Leo-Skiri-Ostigard,Ostigard Genoa fbref,https://fbref.com/en/search/search.fcgi?search=Ostigard%20Genoa%20fbref,batch-02,66,46,confirmed,0.98,2026-06-05,V374,"Nome listone senza accenti: associato a Leo Skiri Østigård, Genoa. Batch-02 verificato manualmente su FBref."
fc-6844,6844,Rowe,C,W/T,Bologna,IN_LISTONE,15,49,Ac Milan,8c12f884,Jonathan Rowe,https://fbref.com/en/players/8c12f884/Jonathan-Rowe,Rowe Bologna fbref,https://fbref.com/en/search/search.fcgi?search=Rowe%20Bologna%20fbref,batch-02,72,45,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Jonathan Rowe, Bologna. Batch-02 verificato manualmente su FBref."
fc-827,827,Locatelli,C,M/C,Juventus,IN_LISTONE,12,47,Beetlejuice,a8a874f1,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/Manuel-Locatelli,Locatelli Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Locatelli%20Juventus%20fbref,batch-02,62,46,confirmed,0.99,2026-06-05,V374,"Nome listone cognome: associato a Manuel Locatelli, Juventus. Batch-02 verificato manualmente su FBref."
fc-7181,7181,Wesley,D,E,Roma,IN_LISTONE,14,46,Afc Severgas Baronissi,f2c49c79,Wesley,https://fbref.com/en/players/f2c49c79/Wesley,Wesley Roma fbref,https://fbref.com/en/search/search.fcgi?search=Wesley%20Roma%20fbref,batch-02,75,45,confirmed,0.98,2026-06-05,V374,Profilo FBref Wesley collegato a Roma/Flamengo. Batch-02 verificato manualmente su FBref.
fc-4409,4409,Rrahmani,D,Dc,Napoli,IN_LISTONE,11,45,Olympic Salerno  FC,,,,Rrahmani Napoli fbref,https://fbref.com/en/search/search.fcgi?search=Rrahmani%20Napoli%20fbref,batch-03,138,38,needs-review,,,,
fc-4728,4728,Nkunku,A,A,Milan,IN_LISTONE,18,43,real mappine,7c56da38,Christopher Nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,Nkunku Milan fbref,https://fbref.com/en/search/search.fcgi?search=Nkunku%20Milan%20fbref,batch-02,65,46,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Christopher Nkunku, Milan. Batch-02 verificato manualmente su FBref."
fc-7071,7071,Esposito F.P.,A,Pc,Inter,IN_LISTONE,22,41,Olympic Salerno  FC,041e5f1f,Francesco Esposito,https://fbref.com/en/players/041e5f1f/Francesco-Esposito,Esposito F.P Inter fbref,https://fbref.com/en/search/search.fcgi?search=Esposito%20F.P%20Inter%20fbref,batch-01,46,51,confirmed,0.98,2026-06-05,V373,FBref usa il nome Francesco Esposito per Francesco Pio Esposito.
fc-5562,5562,Thuram K.,C,M/C,Juventus,IN_LISTONE,14,41,real mappine,7d9397f8,Khéphren Thuram,https://fbref.com/en/players/7d9397f8/Khephren-Thuram,Thuram K Juventus fbref,https://fbref.com/en/search/search.fcgi?search=Thuram%20K%20Juventus%20fbref,batch-02,68,46,confirmed,0.98,2026-06-05,V374,"Nome listone Thuram K.: associato a Khéphren Thuram, Juventus. Batch-02 verificato manualmente su FBref."
fc-6217,6217,Bisseck,D,Dc,Inter,IN_LISTONE,15,41,real mappine,3963c25b,Yann Aurel Bisseck,https://fbref.com/en/players/3963c25b/Yann-Aurel-Bisseck,Bisseck Inter fbref,https://fbref.com/en/search/search.fcgi?search=Bisseck%20Inter%20fbref,batch-02,89,42,confirmed,0.98,2026-06-05,V374,"Nome listone cognome: associato a Yann Aurel Bisseck, Inter. Batch-02 verificato manualmente su FBref."
