reviewPriority,reviewBatch,playerKey,playerName,classicRole,mantraRoles,realTeam,realTeamOriginal,fantacalcioId,quotationCurrent,fvm,fantasyRoster,fbrefSearchQuery,fbrefSearchUrl,fbrefId,fbrefName,fbrefUrl,matchStatus,confidence,notes
"52","batch-02","fc-4923","Colombo","A","Pc","GEN","Genoa","4923","14","37","FC DueFratelli2005","Colombo Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Colombo%20Genoa%20fbref","","","","needs-review","",""
"53","batch-02","fc-2134","Falcone","P","Por","LEC","Lecce","2134","15","35","River Plaid","Falcone Lecce fbref","https://fbref.com/en/search/search.fcgi?search=Falcone%20Lecce%20fbref","","","","needs-review","",""
"54","batch-02","fc-4892","Saelemaekers","C","E/W","MIL","Milan","4892","15","36","As Paperopoli","Saelemaekers Milan fbref","https://fbref.com/en/search/search.fcgi?search=Saelemaekers%20Milan%20fbref","","","","needs-review","",""
"55","batch-02","fc-6956","Solet","D","Dc","UDI","Udinese","6956","14","55","Real Pisistrius","Solet Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Solet%20Udinese%20fbref","","","","needs-review","",""
"56","batch-02","fc-2428","Sommer","P","Por","INT","Inter","2428","13","60","Afc Severgas Baronissi","Sommer Inter fbref","https://fbref.com/en/search/search.fcgi?search=Sommer%20Inter%20fbref","","","","needs-review","",""
"57","batch-02","fc-2841","Vlahovic","A","Pc","JUV","Juventus","2841","16","100","Olympic Salerno  FC","Vlahovic Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Vlahovic%20Juventus%20fbref","","","","needs-review","",""
"58","batch-02","fc-4159","Akanji","D","Dc","INT","Inter","4159","13","64","Prestige Worldwide","Akanji Inter fbref","https://fbref.com/en/search/search.fcgi?search=Akanji%20Inter%20fbref","","","","needs-review","",""
"59","batch-02","fc-5455","Moreo","A","A","PIS","Pisa","5455","16","25","Ac Milan","Moreo Pisa fbref","https://fbref.com/en/search/search.fcgi?search=Moreo%20Pisa%20fbref","","","","needs-review","",""
"60","batch-02","fc-6669","Bonny","A","Pc","INT","Inter","6669","20","15","River Plaid","Bonny Inter fbref","https://fbref.com/en/search/search.fcgi?search=Bonny%20Inter%20fbref","","","","needs-review","",""
"61","batch-02","fc-6684","Ekkelenkamp","C","C/T","UDI","Udinese","6684","14","51","Afc Severgas Baronissi","Ekkelenkamp Udinese fbref","https://fbref.com/en/search/search.fcgi?search=Ekkelenkamp%20Udinese%20fbref","","","","needs-review","",""
"62","batch-02","fc-827","Locatelli","C","M/C","JUV","Juventus","827","12","47","Beetlejuice","Locatelli Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Locatelli%20Juventus%20fbref","","","","needs-review","",""
"63","batch-02","fc-4427","Malinovskyi","C","C/T","GEN","Genoa","4427","15","34","Real Pisistrius","Malinovskyi Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Malinovskyi%20Genoa%20fbref","","","","needs-review","",""
"64","batch-02","fc-2170","Milinkovic-Savic V.","P","Por","NAP","Napoli","2170","17","37","Beetlejuice","Milinkovic-Savic V Napoli fbref","https://fbref.com/en/search/search.fcgi?search=Milinkovic-Savic%20V%20Napoli%20fbref","","","","needs-review","",""
"65","batch-02","fc-4728","Nkunku","A","A","MIL","Milan","4728","18","43","real mappine","Nkunku Milan fbref","https://fbref.com/en/search/search.fcgi?search=Nkunku%20Milan%20fbref","","","","needs-review","",""
"66","batch-02","fc-5750","Ostigard","D","Dc","GEN","Genoa","5750","15","50","Prestige Worldwide","Ostigard Genoa fbref","https://fbref.com/en/search/search.fcgi?search=Ostigard%20Genoa%20fbref","","","","needs-review","",""
"67","batch-02","fc-5844","Thorstvedt","C","C/T","SAS","Sassuolo","5844","15","40","Ac Milan","Thorstvedt Sassuolo fbref","https://fbref.com/en/search/search.fcgi?search=Thorstvedt%20Sassuolo%20fbref","","","","needs-review","",""
"68","batch-02","fc-5562","Thuram K.","C","M/C","JUV","Juventus","5562","14","41","real mappine","Thuram K Juventus fbref","https://fbref.com/en/search/search.fcgi?search=Thuram%20K%20Juventus%20fbref","","","","needs-review","",""
"69","batch-02","fc-6646","Adams C.","A","A","TOR","Torino","6646","16","23","Real Pisistrius","Adams C Torino fbref","https://fbref.com/en/search/search.fcgi?search=Adams%20C%20Torino%20fbref","","","","needs-review","",""
"70","batch-02","fc-779","Cristante","C","M/C","ROM","Roma","779","13","26","Afc Severgas Baronissi","Cristante Roma fbref","https://fbref.com/en/search/search.fcgi?search=Cristante%20Roma%20fbref","","","","needs-review","",""
"71","batch-02","fc-2521","De Gea","P","Por","FIO","Fiorentina","2521","12","28","River Plaid","De Gea Fiorentina fbref","https://fbref.com/en/search/search.fcgi?search=De%20Gea%20Fiorentina%20fbref","","","","needs-review","",""
"72","batch-02","fc-6844","Rowe","C","W/T","BOL","Bologna","6844","15","49","Ac Milan","Rowe Bologna fbref","https://fbref.com/en/search/search.fcgi?search=Rowe%20Bologna%20fbref","","","","needs-review","",""
