playerKey,fantacalcioId,playerName,classicRole,mantraRoles,realTeam,fantasyRoster,fbrefId,fbrefName,fbrefUrl,mappingStatus,statsStatus,competition,matches,starts,minutes,goals,assists,xg,npxg,xa,xag,yellowCards,redCards,sourceUrl,sourceUpdatedAt,statsNotes
fc-1870,1870,Barella,C,C,INT,Prestige Worldwide,6928979a,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5513,5513,Dumfries,D,E,INT,Prestige Worldwide,481c9ece,Denzel Dumfries,https://fbref.com/en/players/481c9ece/Denzel-Dumfries,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2038,2038,Pinamonti,A,Pc,SAS,Ac Milan,08aa9cd1,Andrea Pinamonti,https://fbref.com/en/players/08aa9cd1/Andrea-Pinamonti,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6956,6956,Solet,D,Dc,UDI,Real Pisistrius,0670ee51,Oumar Solet,https://fbref.com/en/players/0670ee51/Oumar-Solet,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7351,7351,Santos A.,C,W/A,NAP,FC DueFratelli2005,c67e9194,Alisson Santos,https://fbref.com/en/players/c67e9194/Alisson-Santos,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2296,2296,Mancini,D,Dc,ROM,Ac Milan,5aa53281,Gianluca Mancini,https://fbref.com/en/players/5aa53281/Gianluca-Mancini,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7314,7314,Taylor K.,C,C/T,LAZ,Olympic Salerno  FC,ad9b2747,Kenneth Taylor,https://fbref.com/en/players/ad9b2747/Kenneth-Taylor,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6684,6684,Ekkelenkamp,C,C/T,UDI,Afc Severgas Baronissi,73d6a176,Jurgen Ekkelenkamp,https://fbref.com/en/players/73d6a176/Jurgen-Ekkelenkamp,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4317,4317,N'Dicka,D,Dc,ROM,Ac Milan,441197b8,Obite N'Dicka,https://fbref.com/en/players/441197b8/Obite-NDicka,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-309,309,Dybala,A,A,ROM,Real Pisistrius,e0921a4f,Paulo Dybala,https://fbref.com/en/players/e0921a4f/Paulo-Dybala,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6151,6151,Perrone,C,M/C,COM,Ac Milan,53552942,Máximo Perrone,https://fbref.com/en/players/53552942/Maximo-Perrone,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4486,4486,Strefezza,C,W/A,PAR,Afc Severgas Baronissi,ac4a4508,Gabriel Strefezza,https://fbref.com/en/players/ac4a4508/Gabriel-Strefezza,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5750,5750,Ostigard,D,Dc,GEN,Prestige Worldwide,b35a7399,Leo Skiri Østigård,https://fbref.com/en/players/b35a7399/Leo-Skiri-Ostigard,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6844,6844,Rowe,C,W/T,BOL,Ac Milan,8c12f884,Jonathan Rowe,https://fbref.com/en/players/8c12f884/Jonathan-Rowe,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-827,827,Locatelli,C,M/C,JUV,Beetlejuice,a8a874f1,Manuel Locatelli,https://fbref.com/en/players/a8a874f1/Manuel-Locatelli,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7181,7181,Wesley,D,E,ROM,Afc Severgas Baronissi,f2c49c79,Wesley,https://fbref.com/en/players/f2c49c79/Wesley,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4409,4409,Rrahmani,D,Dc,NAP,Olympic Salerno  FC,4b3e1a38,Amir Rrahmani,https://fbref.com/en/players/4b3e1a38/Amir-Rrahmani,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4728,4728,Nkunku,A,A,MIL,real mappine,7c56da38,Christopher Nkunku,https://fbref.com/en/players/7c56da38/Christopher-Nkunku,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-7071,7071,Esposito F.P.,A,Pc,INT,Olympic Salerno  FC,041e5f1f,Francesco Esposito,https://fbref.com/en/players/041e5f1f/Francesco-Esposito,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5562,5562,Thuram K.,C,M/C,JUV,real mappine,7d9397f8,Khéphren Thuram,https://fbref.com/en/players/7d9397f8/Khephren-Thuram,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-6217,6217,Bisseck,D,Dc,INT,real mappine,3963c25b,Yann Aurel Bisseck,https://fbref.com/en/players/3963c25b/Yann-Aurel-Bisseck,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2097,2097,Kean,A,Pc,FIO,Olympic Salerno  FC,3d50bcdb,Moise Kean,https://fbref.com/en/players/3d50bcdb/Moise-Kean,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-505,505,Bonazzoli,A,A,CRE,Prestige Worldwide,bf57eaab,Federico Bonazzoli,https://fbref.com/en/players/bf57eaab/Federico-Bonazzoli,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5844,5844,Thorstvedt,C,C/T,SAS,Ac Milan,76ff8d0d,Kristian Thorstvedt,https://fbref.com/en/players/76ff8d0d/Kristian-Thorstvedt,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2120,2120,Bastoni,D,Dc,INT,real mappine,75b86fb3,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-5589,5589,Konè M.,C,M/C,ROM,Olympic Salerno  FC,86574238,Manu Koné,https://fbref.com/en/players/86574238/Manu-Kone,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4923,4923,Colombo,A,Pc,GEN,FC DueFratelli2005,04df29a5,Lorenzo Colombo,https://fbref.com/en/players/04df29a5/Lorenzo-Colombo,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4371,4371,Raspadori,A,A,ATA,Real Pisistrius,6e058f06,Giacomo Raspadori,https://fbref.com/en/players/6e058f06/Giacomo-Raspadori,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2832,2832,Boga,A,W/A,JUV,Afc Severgas Baronissi,fe012aca,Jeremie Boga,https://fbref.com/en/players/fe012aca/Jeremie-Boga,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-2170,2170,Milinkovic-Savic V.,P,Por,NAP,Beetlejuice,9fa26bc2,Vanja Milinković-Savić,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
fc-4892,4892,Saelemaekers,C,E/W,MIL,As Paperopoli,ee251371,Alexis Saelemaekers,https://fbref.com/en/players/ee251371/Alexis-Saelemaekers,confirmed,empty-template,Serie A,,,,,,,,,,,,,,
