playerKey,playerName,classicRole,mantraRoles,realTeam,fantacalcioId,fbrefName,fbrefUrl,matchStatus,notes
"fc-4284","Sergi Roberto","C","M/C","COM","4284","","","unmapped",""
"fc-4199","Loftus-Cheek","C","C/T","MIL","4199","","","unmapped",""
"fc-2334","Leris","C","W","PIS","2334","","","unmapped",""
"fc-1976","Mazzitelli","C","M/C","CAG","1976","","","unmapped",""
"fc-801","Gagliardini","C","M/C","VER","801","","","unmapped",""
"fc-7352","Edmundsson","D","Dc","VER","7352","","","unmapped",""
"fc-7235","Troilo","D","Dc","PAR","7235","","","unmapped",""
"fc-7220","Belghali","D","Dd/E","VER","7220","","","unmapped",""
"fc-7219","Bernasconi","D","E","ATA","7219","","","unmapped",""
"fc-7212","Heggem","D","Ds/Dc","BOL","7212","","","unmapped",""
"fc-7175","Joao Mario","D","E","BOL","7175","","","unmapped",""
"fc-7131","Floriani Mussolini","D","Dd/E","CRE","7131","","","unmapped",""
"fc-7014","Smolcic I.","D","Dd/Dc","COM","7014","","","unmapped",""
"fc-7012","Provstgaard","D","Dc","LAZ","7012","","","unmapped",""
"fc-6672","Idzes","D","Dc","SAS","6672","","","unmapped",""
"fc-6660","Marcandalli","D","Dc","GEN","6660","","","unmapped",""
"fc-6642","Coco","D","Dc","TOR","6642","","","unmapped",""
"fc-6639","Frese","D","Ds/E","VER","6639","","","unmapped",""
"fc-6426","Pedersen","D","Dd/E","TOR","6426","","","unmapped",""
"fc-6042","Lucumì","D","Dc","BOL","6042","","","unmapped",""
"fc-5603","Pongracic","D","Dc","FIO","5603","","","unmapped",""
"fc-5527","Zanoli","D","Dd/E","UDI","5527","","","unmapped",""
"fc-5449","Parisi","D","E","FIO","5449","","","unmapped",""
"fc-5427","Gutierrez","D","Ds/E","NAP","5427","","","unmapped",""
"fc-4994","Vojvoda","D","Dd/E","COM","4994","","","unmapped",""
"fc-4433","Zortea","D","E","BOL","4433","","","unmapped",""
